project,class_name,method_name,target_class_name,label
jgrapht,BlossomVNode,moveChildrenTo,BlossomVNode,0
jgrapht,BlossomVNode,getPenultimateBlossom,BlossomVNode,0
jgrapht,BlossomVNode,getPenultimateBlossomAndFixBlossomGrandparent,BlossomVNode,0
jgrapht,BlossomVNode,getTrueDual,BlossomVTree,0
jgrapht,BlossomVNode,toString,BlossomVEdge,0
jgrapht,BlossomVPrimalUpdater,grow,BlossomVEdge,0
jgrapht,BlossomVPrimalUpdater,augment,BlossomVEdge,0
jgrapht,BlossomVPrimalUpdater,shrink,BlossomVEdge,0
jgrapht,BlossomVPrimalUpdater,expand,BlossomVNode,0
jgrapht,BlossomVPrimalUpdater,processMinusNodeGrow,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,processPlusNodeGrow,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,expandEvenBranch,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,expandOddBranch,BlossomVTree,0
jgrapht,BlossomVPrimalUpdater,expandPlusNode,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,expandMinusNode,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,expandInfinityNode,BlossomVTree,0
jgrapht,BlossomVPrimalUpdater,augmentBranch,BlossomVEdge,0
jgrapht,BlossomVPrimalUpdater,updateTreeStructure,BlossomVNode,0
jgrapht,BlossomVPrimalUpdater,shrinkPlusNode,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,shrinkMinusNode,BlossomVNode,1
jgrapht,BlossomVPrimalUpdater,setBlossomSiblings,BlossomVEdge,0
jgrapht,BlossomVPrimalUpdater,findBlossomRoot,BlossomVEdge,1
jgrapht,BlossomVPrimalUpdater,clearIsMarkedAndSetIsOuter,BlossomVNode,0
jgrapht,BlossomVPrimalUpdater,reverseBlossomSiblings,BlossomVNode,0
jgrapht,BlossomVPrimalUpdater,forwardDirection,BlossomVNode,0
jgrapht,BlossomVPrimalUpdater,printBlossomNodes,BlossomVNode,0
jgrapht,BlossomVState,BlossomVState,BlossomVOptions,0
jgrapht,BlossomVTree,BlossomVTree,BlossomVNode,0
jgrapht,BlossomVTree,addTreeEdge,BlossomVTreeEdge,1
jgrapht,BlossomVTree,setCurrentEdges,BlossomVTreeEdge,1
jgrapht,BlossomVTree,clearCurrentEdges,BlossomVTreeEdge,0
jgrapht,BlossomVTree,toString,BlossomVNode,0
jgrapht,BlossomVTree,addPlusPlusEdge,BlossomVEdge,1
jgrapht,BlossomVTree,addPlusInfinityEdge,BlossomVEdge,1
jgrapht,BlossomVTree,addMinusBlossom,BlossomVNode,1
jgrapht,BlossomVTree,removePlusPlusEdge,BlossomVEdge,0
jgrapht,BlossomVTree,removePlusInfinityEdge,BlossomVEdge,0
jgrapht,BlossomVTree,removeMinusBlossom,BlossomVNode,0
jgrapht,BlossomVTree,treeNodeIterator,BlossomVNode,0
jgrapht,BlossomVTreeEdge,addToCurrentMinusPlusHeap,BlossomVEdge,1
jgrapht,BlossomVTreeEdge,addToCurrentPlusMinusHeap,BlossomVEdge,1
jgrapht,BlossomVTreeEdge,addPlusPlusEdge,BlossomVEdge,1
jgrapht,BlossomVTreeEdge,removeFromCurrentMinusPlusHeap,BlossomVEdge,1
jgrapht,BlossomVTreeEdge,removeFromCurrentPlusMinusHeap,BlossomVEdge,1
jgrapht,BlossomVTreeEdge,removeFromPlusPlusHeap,BlossomVEdge,1
jgrapht,KolmogorovWeightedMatching,KolmogorovWeightedMatching,BlossomVOptions,0
jgrapht,KolmogorovWeightedMatching,KolmogorovWeightedMatching,BlossomVOptions,0
jgrapht,KolmogorovWeightedMatching,lazyComputeMaximumWeightMatching,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatching,KolmogorovWeightedPerfectMatching,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatching,KolmogorovWeightedPerfectMatching,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatching,lazyComputeWeightedPerfectMatching,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatching,setCurrentEdgesAndTryToAugment,BlossomVTree,0
jgrapht,KolmogorovWeightedPerfectMatching,totalDual,BlossomVNode,0
jgrapht,KolmogorovWeightedPerfectMatching,lca,BlossomVNode,0
jgrapht,KolmogorovWeightedPerfectMatching,clearMarked,BlossomVNode,0
jgrapht,KolmogorovWeightedPerfectMatching,getBlossomNodes,BlossomVNode,0
jgrapht,TraversalListenerAdapter,connectedComponentFinished,ConnectedComponentTraversalEvent,0
jgrapht,TraversalListenerAdapter,connectedComponentStarted,ConnectedComponentTraversalEvent,0
jgrapht,NetworkGenerator,NetworkGenerator,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,NetworkGenerator,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,NetworkGenerator,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,generateBipartiteMatchingProblem,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,init,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,createSupply,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,generateChains,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,connectChainsToSinks,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,addAllRemainingArcs,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getCapacity,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getCost,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getTransshipSources,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getSources,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getTransshipNodes,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getTransshipSinks,NetworkGeneratorConfig,0
jgrapht,NetworkGenerator,getSinks,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,NetworkInfo,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getPureSources,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getTransshipmentSources,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getSources,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getTransshipmentNodes,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getPureSinks,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getTransshipmentSinks,NetworkGeneratorConfig,0
jgrapht,NetworkInfo,getSinks,NetworkGeneratorConfig,0
jgrapht,AbstractGraphIterator,fireConnectedComponentFinished,ConnectedComponentTraversalEvent,0
jgrapht,AbstractGraphIterator,fireConnectedComponentStarted,ConnectedComponentTraversalEvent,0
jgrapht,CrossComponentIterator,hasNext,ConnectedComponentTraversalEvent,0
jgrapht,CrossComponentIterator,next,ConnectedComponentTraversalEvent,0
jgrapht,ModifiableInteger,compareTo,ModifiableInteger,0
jgrapht,ConnectivityInspectorTest,create,DefaultEdge,0
jgrapht,ConnectivityInspectorTest,testIsGraphConnected,DefaultEdge,0
jgrapht,DinicMFImplTest,simpleTest1,DefaultWeightedEdge,0
jgrapht,DinicMFImplTest,simpleTest2,DefaultWeightedEdge,0
jgrapht,DinicMFImplTest,simpleTest3,DefaultWeightedEdge,0
jgrapht,BlossomVDebugger,getEdgesOf,BlossomVNode,1
jgrapht,BlossomVDebugger,getTreeEdgesOf,BlossomVTree,1
jgrapht,BlossomVDebugger,getTreeEdge,BlossomVTree,0
jgrapht,BlossomVDebugger,getTreeEdgesBetween,BlossomVTree,1
jgrapht,BlossomVDebugger,getChildrenOf,BlossomVNode,0
jgrapht,BlossomVDebugger,getTreeNodes,BlossomVTree,1
jgrapht,BlossomVDebugger,getDirToOpposite,BlossomVTree,0
jgrapht,BlossomVDebugger,getPlusMinusHeap,BlossomVTree,1
jgrapht,BlossomVDebugger,getMinusPlusHeap,BlossomVTree,1
jgrapht,BlossomVDualUpdaterTest,testUpdateDuals1,BlossomVOptions,0
jgrapht,BlossomVDualUpdaterTest,testUpdateDuals2,BlossomVOptions,0
jgrapht,BlossomVDualUpdaterTest,testUpdateDualsSingle1,BlossomVOptions,0
jgrapht,BlossomVDualUpdaterTest,testUpdateDualsSingle2,BlossomVOptions,0
jgrapht,BlossomVDualUpdaterTest,testUpdateDualsConnectedComponents1,BlossomVOptions,0
jgrapht,BlossomVDualUpdaterTest,testUpdateDualsConnectedComponents2,BlossomVOptions,0
jgrapht,BlossomVDualUpdaterTest,testUpdateDualsConnectedComponents3,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization1,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization2,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization3,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization4,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization5,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization6,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization7,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization8,BlossomVOptions,0
jgrapht,BlossomVInitializerTest,testFractionalInitialization9,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testLabels,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testAncestors,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testRemoveEdge,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testIncidentEdgeIterator1,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testIncidentEdgeIteratorOf,BlossomVNode,0
jgrapht,BlossomVNodeTest,testRemoveFromChildList,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testMoveChildrenTo,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testGetPenultimateBlossom,BlossomVOptions,0
jgrapht,BlossomVNodeTest,testGetPenultimateBlossomAndFixBlossomGrandparent,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testGrow1,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testGrow2,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testGrow3,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testGrow4,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testGrow5,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testGrow6,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testFindBlossomRoot,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testAugment1,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testAugment2,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testAugment3,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testAugment4,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink1,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink2,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink3,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink4,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink5,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink6,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink7,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testShrink8,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testExpand1,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testExpand2,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testExpand3,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testExpand4,BlossomVOptions,0
jgrapht,BlossomVPrimalUpdaterTest,testExpand5,BlossomVOptions,0
jgrapht,BlossomVTreeTest,testTreeNodeIterator,BlossomVOptions,0
jgrapht,KolmogorovWeightedMatchingTest,KolmogorovWeightedMatchingTest,BlossomVOptions,0
jgrapht,KolmogorovWeightedMatchingTest,params,BlossomVOptions,0
jgrapht,KolmogorovWeightedMatchingTest,test,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,KolmogorovWeightedPerfectMatchingTest,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,params,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching1,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching37,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching41,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching42,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching43,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching44,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching45,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching46,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching47,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching48,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching49,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,testGetMatching50,BlossomVOptions,0
jgrapht,KolmogorovWeightedPerfectMatchingTest,test,BlossomVOptions,0
jgrapht,BFSShortestPathTest,create,DefaultEdge,0
jgrapht,BFSShortestPathTest,testPathBetween,DefaultEdge,0
jgrapht,BFSShortestPathTest,testAllPaths,DefaultEdge,0
jgrapht,ShortestPathTestCase,testPathBetween,DefaultWeightedEdge,0
jgrapht,ShortestPathTestCase,createWithBias,DefaultWeightedEdge,0
jgrapht,MinimumSpanningTreeTest,testSimpleDisconnectedWeightedGraph,DefaultWeightedEdge,0
jgrapht,MinimumSpanningTreeTest,testSimpleConnectedWeightedGraph,DefaultWeightedEdge,0
jgrapht,MinimumSpanningTreeTest,createSimpleDisconnectedWeightedGraph,DefaultWeightedEdge,0
jgrapht,MinimumSpanningTreeTest,createSimpleConnectedWeightedGraph,DefaultWeightedEdge,0
jgrapht,NetworkGeneratorTest,validateNetwork,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,validateCapacities,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,validateCosts,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,generateMinCostFlowProblem,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,generateMaxFlowProblem,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,generateBipartiteMatchingProblem,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,testMinCostFlowProblem,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,testMaxFlowProblem,NetworkGeneratorConfig,0
jgrapht,NetworkGeneratorTest,testBipartiteMatchingProblem,NetworkGeneratorConfig,0
jgrapht,AsGraphUnionTest,setUp,DefaultWeightedEdge,0
jgrapht,AsGraphUnionTest,testUndirectedGraphUnion,DefaultWeightedEdge,0
jgrapht,AsGraphUnionTest,testDirectedGraphUnion,DefaultWeightedEdge,0
jgrapht,AsGraphUnionTest,testMixedGraphUnion,DefaultWeightedEdge,0
jgrapht,AsUndirectedGraphTest,testEdgesOf,DefaultEdge,0
jgrapht,AsUndirectedGraphTest,testIncomingEdgesOf,DefaultEdge,0
jgrapht,AsUndirectedGraphTest,testOutgoingEdgesOf,DefaultEdge,0
jgrapht,AsUndirectedGraphTest,testGetAllEdges,DefaultEdge,0
jgrapht,AsUndirectedGraphTest,testRemoveEdge,DefaultEdge,0
jgrapht,AsUndirectedGraphTest,setUp,DefaultEdge,0
jgrapht,AsUnweightedGraphTest,setUp,DefaultWeightedEdge,0
jgrapht,AsUnweightedGraphTest,getEdgeWeightOfE12,DefaultWeightedEdge,0
jgrapht,AsUnweightedGraphTest,getEdgeWeightOfE23,DefaultWeightedEdge,0
jgrapht,AsUnweightedGraphTest,getEdgeWeightOfE24,DefaultWeightedEdge,0
jgrapht,AsUnweightedGraphTest,getEdgeWeightOfLoop,DefaultWeightedEdge,0
jgrapht,AsUnweightedGraphTest,setEdgeWeight,DefaultWeightedEdge,0
jgrapht,MaskEdgeSetTest,setUp,DefaultEdge,0
jgrapht,MaskEdgeSetTest,testContains,DefaultEdge,0
jgrapht,MaskEdgeSetTest,testIterator,DefaultEdge,0
jgrapht,MaskVertexSetTest,setUp,DefaultEdge,0
jgrapht,MaskVertexSetTest,testContains,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testAddEdgeEdge,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testAddEdgeObjectObject,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testContainsEdgeEdge,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testEdgeSet,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testGetAllEdges,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testGetEdge,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testOutgoingEdgesOf,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testRemoveEdgeEdge,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,testRemoveEdgeObjectObject,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,verifyReversal,DefaultEdge,0
jgrapht,SimpleDirectedGraphTest,setUp,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testAddEdgeEdge,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testContainsEdgeEdge,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testEdgeSet,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testGetAllEdges,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testGetEdge,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testOutgoingEdgesOf,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testRemoveEdgeEdge,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,testRemoveEdgeObjectObject,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,verifyReversal,DefaultEdge,0
jgrapht,SimpleIdentityDirectedGraphTest,setUp,DefaultEdge,0
jgrapht,UnweightedGraphAsWeightedGraphTest,setUp,DefaultWeightedEdge,0
jgrapht,UnweightedGraphAsWeightedGraphTest,testSetEdgeWeight,DefaultWeightedEdge,0
jgrapht,UnweightedGraphAsWeightedGraphTest,testGetEdgeWeight,DefaultWeightedEdge,0
jgrapht,UnweightedGraphAsWeightedGraphTest,testGetDefaultEdgeWeight,DefaultWeightedEdge,0
jgrapht,WeightedGraphAsWeightedGraphTest,createBackingGraph,DefaultWeightedEdge,0
jgrapht,WeightedGraphAsWeightedGraphTest,testSetEdgeWeight,DefaultWeightedEdge,0
jgrapht,WeightedGraphAsWeightedGraphTest,testSetEdgeWeightDefaultPropagation,DefaultWeightedEdge,0
jgrapht,WeightedGraphAsWeightedGraphTest,testSetEdgePropagatesChangesToBackingGraph,DefaultWeightedEdge,0
jgrapht,WeightedGraphAsWeightedGraphTest,testGetEdgeWeight,DefaultWeightedEdge,0
jgrapht,WeightedGraphAsWeightedGraphTest,testGetDefaultEdgeWeight,DefaultWeightedEdge,0
libgdx,AbstractInput,setCatchKey,IntSet,0
libgdx,AbstractInput,isCatchKey,IntSet,0
libgdx,InputEventQueue,drain,IntArray,0
libgdx,InputEventQueue,next,IntArray,0
libgdx,InputEventQueue,queueTime,IntArray,0
libgdx,InputEventQueue,keyDown,IntArray,0
libgdx,InputEventQueue,keyUp,IntArray,0
libgdx,InputEventQueue,keyTyped,IntArray,0
libgdx,InputEventQueue,touchDown,IntArray,0
libgdx,InputEventQueue,touchUp,IntArray,0
libgdx,InputEventQueue,touchDragged,IntArray,0
libgdx,InputEventQueue,mouseMoved,IntArray,0
libgdx,InputEventQueue,scrolled,IntArray,0
libgdx,AssetDescriptor,AssetDescriptor,FileHandle,0
libgdx,AssetDescriptor,AssetDescriptor,FileHandle,0
libgdx,AssetLoadingTask,AssetLoadingTask,AsyncExecutor,0
libgdx,AssetLoadingTask,call,AssetDescriptor,0
libgdx,AssetLoadingTask,handleSyncLoader,AssetDescriptor,0
libgdx,AssetLoadingTask,handleAsyncLoader,AssetDescriptor,0
libgdx,AssetLoadingTask,resolve,AssetDescriptor,0
libgdx,AssetManager,unload,Logger,0
libgdx,AssetManager,isLoaded,AssetDescriptor,0
libgdx,AssetManager,load,Logger,0
libgdx,AssetManager,load,AssetDescriptor,0
libgdx,AssetManager,finishLoading,Logger,0
libgdx,AssetManager,finishLoadingAsset,AssetDescriptor,0
libgdx,AssetManager,finishLoadingAsset,Logger,0
libgdx,AssetManager,injectDependency,Logger,0
libgdx,AssetManager,nextTask,Logger,0
libgdx,AssetManager,addTask,AsyncExecutor,0
libgdx,AssetManager,updateTask,Logger,0
libgdx,AssetManager,taskFailed,AssetDescriptor,0
libgdx,AssetManager,handleTaskError,Logger,0
libgdx,AssetManager,setLoader,Logger,0
libgdx,AssetManager,dispose,AsyncExecutor,0
libgdx,AssetManager,getLogger,Logger,0
libgdx,AssetManager,setLogger,Logger,0
libgdx,AssetLoader,getDependencies,FileHandle,0
libgdx,AsynchronousAssetLoader,loadAsync,FileHandle,0
libgdx,AsynchronousAssetLoader,unloadAsync,FileHandle,0
libgdx,AsynchronousAssetLoader,loadSync,FileHandle,0
libgdx,BitmapFontLoader,getDependencies,FileHandle,0
libgdx,BitmapFontLoader,loadAsync,FileHandle,0
libgdx,BitmapFontLoader,loadSync,FileHandle,0
libgdx,CubemapLoader,loadAsync,FileHandle,0
libgdx,CubemapLoader,loadSync,FileHandle,0
libgdx,CubemapLoader,getDependencies,FileHandle,0
libgdx,I18NBundleLoader,loadAsync,I18NBundle,0
libgdx,I18NBundleLoader,loadSync,I18NBundle,1
libgdx,I18NBundleLoader,getDependencies,FileHandle,0
libgdx,ModelLoader,getDependencies,FileHandle,0
libgdx,ModelLoader,loadAsync,FileHandle,0
libgdx,ModelLoader,loadSync,FileHandle,0
libgdx,MusicLoader,loadAsync,FileHandle,0
libgdx,MusicLoader,loadSync,FileHandle,0
libgdx,MusicLoader,getDependencies,FileHandle,0
libgdx,ParticleEffectLoader,load,FileHandle,0
libgdx,ParticleEffectLoader,getDependencies,FileHandle,0
libgdx,PixmapLoader,loadAsync,Pixmap,1
libgdx,PixmapLoader,loadSync,Pixmap,1
libgdx,PixmapLoader,getDependencies,FileHandle,0
libgdx,ShaderProgramLoader,getDependencies,FileHandle,0
libgdx,ShaderProgramLoader,loadAsync,FileHandle,0
libgdx,ShaderProgramLoader,loadSync,FileHandle,1
libgdx,SkinLoader,getDependencies,FileHandle,1
libgdx,SkinLoader,loadAsync,FileHandle,0
libgdx,SkinLoader,loadSync,FileHandle,1
libgdx,SkinLoader,newSkin,TextureAtlas,0
libgdx,SoundLoader,loadAsync,FileHandle,0
libgdx,SoundLoader,loadSync,FileHandle,0
libgdx,SoundLoader,getDependencies,FileHandle,0
libgdx,SynchronousAssetLoader,load,FileHandle,0
libgdx,TextureAtlasLoader,load,FileHandle,0
libgdx,TextureAtlasLoader,getDependencies,FileHandle,0
libgdx,TextureLoader,loadAsync,FileHandle,0
libgdx,TextureLoader,loadSync,FileHandle,0
libgdx,TextureLoader,getDependencies,FileHandle,0
libgdx,ResolutionFileResolver,resolve,FileHandle,0
libgdx,FileHandle,copyTo,FileHandle,0
libgdx,FileHandle,moveTo,FileHandle,0
libgdx,FileHandle,copyFile,FileHandle,0
libgdx,FileHandle,copyDirectory,FileHandle,0
libgdx,FileHandleStream,copyTo,FileHandle,0
libgdx,FileHandleStream,moveTo,FileHandle,0
libgdx,Camera,lookAt,Vector3,0
libgdx,Camera,lookAt,Vector3,0
libgdx,Camera,normalizeUp,Vector3,0
libgdx,Camera,rotate,Vector3,0
libgdx,Camera,rotate,Vector3,1
libgdx,Camera,rotate,Vector3,0
libgdx,Camera,rotate,Vector3,0
libgdx,Camera,rotateAround,Vector3,1
libgdx,Camera,transform,Vector3,0
libgdx,Camera,translate,Vector3,0
libgdx,Camera,translate,Vector3,0
libgdx,Camera,unproject,Matrix4,0
libgdx,Camera,unproject,Vector3,1
libgdx,Camera,project,Vector3,1
